,Abreviatura,Nombre Empresa,Valor Total,Precio Stock,Delta Valor
0,ITX,"Industria de Diseño Textil, S.A.",170.38B,51.30,-6.22%
1,AIR,Airbus SE,123.48B,156.52,0.27%
2,IBE,"Iberdrola, S.A.",81.95B,13.25,-0.15%
3,SAN,"Banco Santander, S.A.",70.97B,4.68,-0.01%
4,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",55.28B,9.60,0.04%
5,CABK,"CaixaBank, S.A.",38.50B,5.33,-0.82%
6,AMS,"Amadeus IT Group, S.A.",30.06B,68.92,-0.12%
7,AENA,"Aena S.M.E., S.A.",30.00B,196.10,-1.95%
8,FER,Ferrovial SE,29.20B,40.12,-1.43%
9,TEF,"Telefónica, S.A.",24.12B,4.28,
10,CLNX,"Cellnex Telecom, S.A.",23.44B,33.22,-0.95%
11,NTGY,"Naturgy Energy Group, S.A.",22.65B,23.62,0.17%
12,ELE,"Endesa, S.A.",22.43B,21.00,-0.90%
13,MTS,ArcelorMittal S.A.,19.30B,24.41,-0.77%
14,IAG,International Consolidated Airlines Group S.A.,16.70B,3.42,0.59%
15,REP,"Repsol, S.A.",13.46B,11.40,-0.26%
16,ACS,"ACS, Actividades de Construcción y Servicios, S.A.",12.03B,47.30,0.13%
17,PUIG,"Puig Brands, S.A.",10.72B,19.05,0.08%
18,SAB,"Banco de Sabadell, S.A.",10.28B,1.90,-0.24%
19,RED,"Redeia Corporación, S.A.",9.18B,16.84,-1.00%
20,MAP,"Mapfre, S.A.",7.57B,2.47,0.16%
21,BKT,"Bankinter, S.A.",6.84B,7.61,-1.04%
22,ANE,"Corporación Acciona Energías Renovables, S.A.",6.52B,20.00,2.51%
23,ANA,"Acciona, S.A.",6.50B,118.20,-1.09%
24,MRL,"MERLIN Properties SOCIMI, S.A.",5.73B,10.18,-0.78%
25,GRF,"Grifols, S.A.",5.54B,8.89,1.02%
26,FDR,"Fluidra, S.A.",4.84B,25.58,0.24%
27,GCO,"Grupo Catalana Occidente, S.A.",4.42B,37.45,-0.66%
28,FCC,"Fomento de Construcciones y Contratas, S.A.",4.23B,9.30,
29,LOG,"Logista Integral, S.A.",3.90B,29.42,-0.34%
30,UNI,"Unicaja Banco, S.A.",3.33B,1.31,-0.46%
31,ENG,"Enagás, S.A.",3.29B,12.45,-1.11%
32,COL,"Inmobiliaria Colonial, SOCIMI, S.A.",3.25B,5.20,-0.76%
33,ROVI,"Laboratorios Farmaceuticos Rovi, S.A.",3.24B,63.40,-0.31%
