,Abreviatura,Nombre Empresa,Valor Total,Precio Stock,Delta Valor
0,ITX,"Industria de Diseño Textil, S.A.",173.87B,55.82,0.07%
1,AIR,Airbus SE,122.65B,155.58,-0.08%
2,IBE,"Iberdrola, S.A.",83.06B,13.45,-0.48%
3,SAN,"Banco Santander, S.A.",70.46B,4.64,-0.79%
4,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",55.06B,9.55,-0.81%
5,CABK,"CaixaBank, S.A.",38.70B,5.36,-0.74%
6,AENA,"Aena S.M.E., S.A.",30.60B,204.00,-0.58%
7,AMS,"Amadeus IT Group, S.A.",30.50B,70.00,-0.06%
8,FER,Ferrovial SE,29.84B,41.00,
9,TEF,"Telefónica, S.A.",24.46B,4.34,
10,CLNX,"Cellnex Telecom, S.A.",23.92B,33.90,-0.91%
11,ELE,"Endesa, S.A.",22.61B,21.36,-0.51%
12,NTGY,"Naturgy Energy Group, S.A.",22.60B,23.52,0.09%
13,MTS,ArcelorMittal S.A.,18.97B,24.14,0.42%
14,IAG,International Consolidated Airlines Group S.A.,16.68B,3.42,0.21%
15,REP,"Repsol, S.A.",13.29B,11.29,-0.44%
16,ACS,"ACS, Actividades de Construcción y Servicios, S.A.",12.22B,48.00,-0.04%
17,PUIG,"Puig Brands, S.A.",10.70B,18.99,-3.51%
18,SAB,"Banco de Sabadell, S.A.",10.25B,1.90,-1.45%
19,RED,"Redeia Corporación, S.A.",9.15B,16.95,-0.88%
20,MAP,"Mapfre, S.A.",7.68B,2.51,-1.73%
21,BKT,"Bankinter, S.A.",6.97B,7.76,-0.49%
22,ANE,"Corporación Acciona Energías Renovables, S.A.",6.49B,20.00,2.51%
23,ANA,"Acciona, S.A.",6.44B,118.30,0.77%
24,MRL,"MERLIN Properties SOCIMI, S.A.",5.91B,10.51,0.77%
25,GRF,"Grifols, S.A.",5.39B,8.63,-1.21%
26,FDR,"Fluidra, S.A.",4.88B,25.68,2.23%
27,GCO,"Grupo Catalana Occidente, S.A.",4.41B,37.40,-1.19%
28,FCC,"Fomento de Construcciones y Contratas, S.A.",4.22B,9.28,0.54%
29,LOG,"Logista Integral, S.A.",3.96B,30.02,-0.46%
30,ENG,"Enagás, S.A.",3.39B,13.00,-0.76%
31,COL,"Inmobiliaria Colonial, SOCIMI, S.A.",3.39B,5.48,1.86%
32,UNI,"Unicaja Banco, S.A.",3.30B,1.30,-0.84%
33,ROVI,"Laboratorios Farmaceuticos Rovi, S.A.",3.25B,63.60,-0.24%
34,VID,"Vidrala, S.A.",3.21B,96.10,0.21%
35,CIE,"CIE Automotive, S.A.",3.07B,25.60,
36,IDR,"Indra Sistemas, S.A.",3.04B,17.21,0.12%
37,VIS,"Viscofan, S.A.",2.87B,61.70,
38,ALB,"Corporación Financiera Alba, S.A.",2.86B,47.80,0.63%
39,ACX,"Acerinox, S.A.",2.49B,9.98,0.60%
40,EBRO,"Ebro Foods, S.A.",2.45B,15.90,-0.75%
41,SCYR,"Sacyr, S.A.",2.44B,3.15,-0.50%
42,APAM,Aperam S.A.,2.02B,27.70,
43,NHH,"Minor Hotels Europe & Americas, S.A.",1.96B,4.44,-1.33%
44,ENO,"Elecnor, S.A.",1.79B,20.90,-0.95%
45,ALM,"Almirall, S.A.",1.78B,8.33,-2.40%
46,APPS,"Applus Services, S.A.",1.64B,12.70,
47,MEL,"Meliá Hotels International, S.A.",1.58B,7.18,-0.35%
48,GEST,"Gestamp Automoción, S.A.",1.40B,2.45,-0.61%
49,PHM,"Pharma Mar, S.A.",1.37B,78.00,4.28%
50,MVC,Metrovacesa S.A.,1.33B,8.75,0.23%
51,PRO,"Proeduca Altus, S.A.",1.28B,28.40,
52,YGMP,"GMP Property SOCIMI, S.A.",1.26B,65.50,-0.76%
